feedback,status,subject,enrollment_date,age,country,study_hours_per_week
I lost motivation because the content was overwhelming.,Dropout,Physics,01-10-2022,34,UK,12.8
The course was too difficult and confusing.,Dropout,Mathematics,03-02-2022,22,Germany,8.6
I lost motivation because the content was overwhelming.,Dropout,Physics,21-01-2022,25,India,5.2
"Some topics were useful, others were not very relevant.",Completed,Computer Science,22-06-2024,20,USA,13.7
I liked parts of the course but not everything.,Completed,Business,22-01-2022,32,Brazil,3.7
The overall experience was decent but not outstanding.,Completed,Philosophy,13-12-2023,42,Germany,5.7
There were too many assignments with little explanation.,Dropout,Psychology,29-01-2024,24,India,2.5
I lost motivation because the content was overwhelming.,Dropout,Philosophy,14-06-2023,44,South Africa,4.2
I lost motivation because the content was overwhelming.,Dropout,Psychology,27-09-2022,19,UK,11.3
I really enjoyed the instructor's teaching style.,Completed,Philosophy,03-02-2022,20,South Africa,14.6
There were too many assignments with little explanation.,Dropout,Psychology,17-04-2022,29,India,9.3
I completed all modules and feel more confident now.,Completed,Economics,05-08-2024,41,USA,16.8
I liked parts of the course but not everything.,Completed,Business,18-06-2023,31,USA,12.8
The instructor did not explain concepts clearly.,Dropout,Data Science,02-03-2024,29,China,5.3
The content was clear and well structured.,Completed,Computer Science,31-10-2022,28,China,17.6
There were too many assignments with little explanation.,Dropout,Mathematics,11-10-2023,37,India,16.3
"Some topics were useful, others were not very relevant.",Completed,History,29-12-2024,27,Australia,18.4
I lost motivation because the content was overwhelming.,Dropout,Computer Science,26-05-2023,38,Canada,9.6
There were too many assignments with little explanation.,Dropout,Machine Learning,24-09-2022,20,USA,19.6
"The pace was average, not too fast or too slow.",Dropout,Computer Science,17-11-2024,19,Canada,14.2
The overall experience was decent but not outstanding.,Completed,Data Science,01-06-2022,32,India,17.4
I completed all modules and feel more confident now.,Completed,Data Science,07-04-2023,37,UK,7.7
The course was okay but could be better.,Completed,Mathematics,14-10-2023,41,USA,10.4
There were too many assignments with little explanation.,Dropout,Mathematics,05-10-2024,30,Australia,5.7
The content was clear and well structured.,Completed,Mathematics,13-02-2022,29,Australia,3.8
"Some topics were useful, others were not very relevant.",Dropout,Mathematics,11-02-2024,39,Germany,14
The overall experience was decent but not outstanding.,Completed,History,29-01-2023,24,India,14.2
I lost motivation because the content was overwhelming.,Dropout,Psychology,26-08-2023,27,South Africa,17.7
The instructor did not explain concepts clearly.,Dropout,Economics,28-11-2024,33,China,12.4
The course was very engaging and easy to follow.,Completed,Psychology,09-08-2024,18,UK,1.2
The overall experience was decent but not outstanding.,Completed,History,05-11-2024,39,Germany,2.4
This course helped me a lot in understanding the subject.,Completed,Computer Science,14-10-2024,26,Japan,14.3
"Some topics were useful, others were not very relevant.",Dropout,History,05-03-2023,23,Japan,15.1
This course helped me a lot in understanding the subject.,Completed,Psychology,14-01-2023,32,South Africa,10
There were too many assignments with little explanation.,Dropout,Business,11-11-2022,18,Brazil,2.5
The course was okay but could be better.,Completed,Economics,21-06-2022,22,Japan,3.5
The overall experience was decent but not outstanding.,Completed,Mathematics,06-11-2022,36,Australia,3.2
"Some topics were useful, others were not very relevant.",Completed,Physics,28-03-2022,22,Japan,7
This course helped me a lot in understanding the subject.,Completed,History,16-05-2023,32,UK,13.3
The overall experience was decent but not outstanding.,Dropout,Psychology,04-01-2023,19,Brazil,8.2
I completed all modules and feel more confident now.,Completed,Philosophy,19-11-2024,18,China,7.5
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,02-04-2023,38,China,15.4
The course was too difficult and confusing.,Dropout,Psychology,30-12-2024,45,Canada,14.4
I found the lectures boring and unhelpful.,Dropout,Machine Learning,29-12-2022,45,UK,2.8
I found the lectures boring and unhelpful.,Dropout,Business,30-08-2023,34,USA,14.5
"Some topics were useful, others were not very relevant.",Dropout,Economics,04-05-2024,35,South Africa,19.8
The course was very engaging and easy to follow.,Completed,Machine Learning,13-08-2022,34,Germany,6
"Some topics were useful, others were not very relevant.",Dropout,Psychology,18-09-2023,42,UK,16.9
The course was too difficult and confusing.,Dropout,History,30-12-2022,36,China,18.4
I liked parts of the course but not everything.,Completed,Economics,10-09-2024,25,Germany,10.9
"Some topics were useful, others were not very relevant.",Completed,Psychology,28-03-2024,41,Australia,15.7
The overall experience was decent but not outstanding.,Dropout,History,22-09-2022,24,Australia,13.5
The overall experience was decent but not outstanding.,Dropout,Mathematics,12-06-2024,43,UK,4.4
There were too many assignments with little explanation.,Dropout,Data Science,18-09-2023,40,USA,1.9
The overall experience was decent but not outstanding.,Dropout,Psychology,25-12-2024,24,USA,6.3
"The pace was average, not too fast or too slow.",Completed,Philosophy,18-08-2022,20,South Africa,17.4
The content was clear and well structured.,Completed,History,23-07-2023,36,China,2.8
"The pace was average, not too fast or too slow.",Dropout,Physics,16-08-2022,41,China,1.4
"Some topics were useful, others were not very relevant.",Dropout,History,19-04-2024,18,UK,14.4
The course was too difficult and confusing.,Dropout,Business,07-02-2023,41,UK,11.2
"The pace was average, not too fast or too slow.",Dropout,History,22-01-2023,45,USA,1.1
The course was okay but could be better.,Dropout,Mathematics,08-07-2023,25,China,18.1
The course was okay but could be better.,Dropout,Economics,28-11-2022,31,Japan,4.2
The course was too difficult and confusing.,Dropout,Computer Science,26-03-2024,35,Brazil,4.1
"Some topics were useful, others were not very relevant.",Completed,Physics,11-04-2023,23,China,19.9
"The pace was average, not too fast or too slow.",Dropout,Philosophy,29-02-2024,39,Canada,5.1
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,01-11-2024,28,USA,17.8
The content was clear and well structured.,Completed,History,20-07-2024,21,Canada,9.2
I really enjoyed the instructor's teaching style.,Completed,Data Science,02-06-2022,24,UK,13.6
I lost motivation because the content was overwhelming.,Dropout,Physics,09-11-2022,21,China,17.1
The course was okay but could be better.,Dropout,Mathematics,02-08-2024,41,Japan,14.8
"The pace was average, not too fast or too slow.",Dropout,Computer Science,29-10-2023,40,India,8.7
I liked parts of the course but not everything.,Completed,History,14-07-2022,38,India,9
The overall experience was decent but not outstanding.,Completed,Mathematics,13-01-2022,38,China,10.9
This course helped me a lot in understanding the subject.,Completed,Machine Learning,18-09-2022,32,Japan,9.4
I really enjoyed the instructor's teaching style.,Completed,Computer Science,27-10-2024,40,USA,7.7
The overall experience was decent but not outstanding.,Completed,Economics,21-05-2023,35,Australia,7.6
The content was clear and well structured.,Completed,Data Science,05-11-2022,40,Brazil,8.2
"The pace was average, not too fast or too slow.",Completed,History,16-12-2022,37,Germany,11.9
There were too many assignments with little explanation.,Dropout,Business,06-07-2024,24,Australia,12.7
The course was okay but could be better.,Dropout,Business,03-04-2023,37,Australia,13.8
I liked parts of the course but not everything.,Dropout,Psychology,07-10-2022,36,Japan,1.4
I liked parts of the course but not everything.,Completed,Mathematics,23-04-2024,31,Japan,19.8
I really enjoyed the instructor's teaching style.,Completed,Computer Science,22-03-2024,33,India,11.7
I completed all modules and feel more confident now.,Completed,Computer Science,07-06-2023,35,Germany,14
"Some topics were useful, others were not very relevant.",Completed,Psychology,04-06-2022,34,Canada,16.3
I really enjoyed the instructor's teaching style.,Completed,History,04-08-2024,25,Australia,16.9
This course helped me a lot in understanding the subject.,Completed,History,28-12-2024,21,Brazil,6.6
The instructor did not explain concepts clearly.,Dropout,Psychology,10-10-2023,18,Japan,4.2
The course was very engaging and easy to follow.,Completed,Business,17-12-2022,21,India,4.1
I liked parts of the course but not everything.,Dropout,Data Science,23-03-2024,30,Australia,11.5
The course was too difficult and confusing.,Dropout,Economics,02-01-2023,26,China,16.8
"The pace was average, not too fast or too slow.",Completed,Machine Learning,30-03-2023,18,China,17.7
The course was too difficult and confusing.,Dropout,Business,15-09-2024,27,China,11.5
I completed all modules and feel more confident now.,Completed,Machine Learning,13-12-2023,31,Canada,1.3
The course was okay but could be better.,Completed,Data Science,07-04-2022,18,Canada,1.9
"Some topics were useful, others were not very relevant.",Completed,History,28-07-2022,36,Japan,7.8
The course was too difficult and confusing.,Dropout,Business,04-03-2024,27,USA,11.6
I liked parts of the course but not everything.,Dropout,Economics,26-08-2023,31,South Africa,11.8
The course was very engaging and easy to follow.,Completed,Machine Learning,23-12-2024,33,UK,8.9
The course was too difficult and confusing.,Dropout,Machine Learning,22-02-2023,31,Germany,17.9
The course was too difficult and confusing.,Dropout,Physics,10-07-2023,27,Australia,19
The content was clear and well structured.,Completed,Philosophy,30-03-2022,30,South Africa,6.2
"Some topics were useful, others were not very relevant.",Completed,Economics,31-03-2024,44,Germany,4.1
"Some topics were useful, others were not very relevant.",Dropout,Mathematics,16-09-2022,21,Germany,18.3
I liked parts of the course but not everything.,Completed,Mathematics,08-10-2023,31,UK,4.5
I found the lectures boring and unhelpful.,Dropout,Philosophy,17-01-2022,28,Canada,5.1
I liked parts of the course but not everything.,Completed,Data Science,14-06-2023,33,Australia,10.1
I completed all modules and feel more confident now.,Completed,Economics,14-08-2023,39,Germany,8.1
The overall experience was decent but not outstanding.,Dropout,History,31-10-2023,23,USA,17.1
"The pace was average, not too fast or too slow.",Dropout,Physics,03-10-2023,18,South Africa,16.8
The instructor did not explain concepts clearly.,Dropout,Business,14-12-2023,24,USA,4.2
The course was too difficult and confusing.,Dropout,Physics,18-03-2024,22,UK,19
I liked parts of the course but not everything.,Dropout,Physics,21-10-2022,38,South Africa,10.4
I completed all modules and feel more confident now.,Completed,Economics,20-05-2023,37,Germany,11.6
"The pace was average, not too fast or too slow.",Completed,Business,17-12-2022,23,Japan,13.7
The course was okay but could be better.,Dropout,Mathematics,03-10-2023,21,Brazil,3.2
I liked parts of the course but not everything.,Completed,Business,22-06-2022,32,USA,2
"The pace was average, not too fast or too slow.",Dropout,Data Science,14-01-2024,27,Japan,2.8
I liked parts of the course but not everything.,Completed,Psychology,06-07-2023,33,Canada,15.5
The course was okay but could be better.,Dropout,Mathematics,02-09-2023,32,China,14.9
